player_id,player_name,position,team,games_played,mu_pergame_raw,mu_pergame,sigma_own,age,draft_number,basis,sigma_pergame,availability_rate,age_multiplier,team_changed,season_mean,season_median,season_p10,season_p90,expected_games,replacement_rank,vor_mean,vor_p90,draft_score,overall_rank,tier,position_rank,adp,adp_sd,adp_round,value_gap
00-0039139,Jahmyr Gibbs,RB,DET,17,20.5285648290008,17.459455845476295,13.527205702496252,24.4517453798768,12.0,model+realized,12.72885478684709,0.9771428571428572,1.0,False,255.52284143123023,266.97036643369086,165.67200975448756,334.5315619791545,14.41,23,109.51219118624954,146.37272680170955,129.78548577475254,1,1,1,1.7,0.8,1.0,0.7
00-0038542,Bijan Robinson,RB,ATL,17,20.63888059924724,17.540993588701923,10.258404015302595,24.58590006844627,8.0,model+realized,10.523604954539287,0.9771428571428572,1.0,False,254.5073971985878,268.4363080236393,164.4279391087707,325.7587448056996,14.374,23,108.49674695360709,137.5999096282546,124.5034864246632,2,2,2,1.9,0.8,1.0,-0.1
00-0036963,Amon-Ra St. Brown,WR,DET,17,18.80049278505516,15.92390364416081,10.929207360527652,26.855578370978783,112.0,model+realized,10.972050316523438,0.9771428571428572,1.0,False,236.11659555141927,245.16684493868016,164.4625281623246,305.45343545195766,14.576,23,89.96100121596271,110.91159951274764,101.48383027919442,3,3,1,7.7,1.4,2.0,4.7
00-0036223,Jonathan Taylor,RB,IND,17,20.33449696114831,16.796533946595154,12.441507261629376,27.616700889801507,41.0,model+realized+age_prior,11.959731662945394,0.9052488687782806,0.97,False,229.3846844540476,238.4283954412706,147.3450003690249,303.8781337408652,13.425,23,83.37403420906685,115.71929856342028,101.16392960396124,4,3,3,6.9,1.7,1.0,2.9000000000000004
00-0038543,Jaxon Smith-Njigba,WR,SEA,17,18.89011149809175,15.9901435624922,7.481206846649338,24.54483230663929,20.0,model+realized,8.643032412216254,0.9771428571428572,1.0,False,236.8257752125364,247.0080006494165,177.38053406017187,292.44664527354354,14.7145,23,90.67018087707982,97.90480933433352,94.64922652856936,5,4,2,6.3,1.6,1.0,1.2999999999999998
00-0036900,Ja'Marr Chase,WR,CIN,16,18.923497894114,15.882607853435678,10.26268320989529,26.50239561943874,5.0,model+realized,10.519340732118303,0.9529124820659972,1.0,False,230.4176213408486,238.46842222958225,164.7899264717473,295.67196799062685,14.343,23,84.26202700539204,101.13013205141684,93.53948478070568,6,4,3,4.2,1.2,1.0,-1.7999999999999998
00-0039075,Puka Nacua,WR,LAR,16,20.8311075431019,16.75186151566407,10.20881155342449,25.259411362080765,177.0,model+realized+team_change_prior,12.447901042169793,0.8137478991596638,1.0,True,222.99273500102495,229.17470417485785,141.62081062707853,299.0691131682301,12.97175,23,76.83714066556843,104.52727722902009,92.06671577546685,7,4,4,2.8,0.7,1.0,-4.2
00-0037744,Trey McBride,TE,ARI,17,17.215506882967873,14.403156246571132,8.366468437617335,26.77618069815195,55.0,model+realized,9.44072728656229,0.9529124820659972,1.0,False,212.6167744671044,217.34275720030155,160.1583808685945,269.89231371401746,14.57675,9,82.54713964615581,98.23890126046274,91.1776085340246,8,4,1,31.5,5.8,6.0,23.5
00-0039040,De'Von Achane,RB,MIA,16,18.963889794658527,16.182005412158073,7.015364091288017,24.88432580424367,84.0,model+realized,8.068190048550127,0.9529124820659972,1.0,False,226.97604358077265,241.1789489038329,147.6646825860317,285.7996278275517,14.03075,23,80.9653933357919,97.64079265010676,90.13686295866506,9,4,4,9.5,1.5,2.0,0.5
00-0037840,Kyren Williams,RB,LAR,17,15.737557037190804,13.365720609190127,6.114826484960672,26.015058179329227,164.0,model+realized+team_change_prior+age_prior,7.965911034449438,0.9529124820659972,0.97,True,201.27733668521648,211.7588699331418,136.39848650307172,256.7055541397968,14.9655,23,55.26668644023576,68.54671896235183,62.5707043273996,10,5,5,33.1,4.2,6.0,23.1
00-0037248,James Cook,RB,BUF,17,16.549020347508822,14.082511800555364,9.20159832663358,26.93497604380561,63.0,model+realized+age_prior,9.1548706908117,0.9529124820659972,0.97,False,199.01884607239296,209.03407484148687,126.95204882445172,258.15925783390486,14.05075,23,53.00819582741224,70.0004226564599,62.35392058338846,11,5,6,12.9,2.9,2.0,1.9000000000000004
00-0034857,Josh Allen,QB,BUF,16,22.53698044687907,19.98881810278074,10.404942335255877,30.28062970568104,7.0,model+realized,10.512341317486948,0.9289411764705882,1.0,False,284.3994346420754,293.1664880396036,218.40503981433244,352.57754675878067,14.1695,8,42.656726620668,60.29651274570858,52.35860898944032,12,6,1,27.5,6.7,5.0,15.5
00-0040122,Ashton Jeanty,RB,LV,17,14.80915007402306,13.232062330927528,8.685277434696433,22.748802190280628,6.0,model+realized,8.527210273755468,0.9616,1.0,False,189.55674749492536,198.0256060466996,128.56122501073327,243.5878404893395,14.25225,23,43.54609724994464,55.42900531189454,50.08169668401709,13,6,7,11.9,2.6,2.0,-1.0999999999999996
00-0037247,George Pickens,WR,DAL,17,15.57143700443437,13.53721024109327,9.650632408415158,25.49486652977413,52.0,model+realized,9.539726343313855,0.9052488687782806,1.0,False,186.83461585554423,193.8618759252809,124.19643778353236,244.3594316086498,13.5425,23,40.6790215200877,49.81759566943978,45.70523730223135,14,7,5,21.0,3.1,4.0,7.0
