player_id,player_name,position,team,games_played,mu_pergame_raw,mu_pergame,sigma_own,age,draft_number,basis,sigma_pergame,availability_rate,age_multiplier,team_changed,season_mean,season_median,season_p10,season_p90,expected_games,replacement_rank,vor_mean,vor_p90,draft_score,overall_rank,tier,position_rank,adp,adp_sd,adp_round,value_gap
00-0035700,Josh Jacobs,RB,GB,15,15.856945879623474,12.862168838522988,9.019222857451798,28.553045859000683,24.0,model+realized+age_prior,8.871096268171543,0.9289411764705882,0.93,False,179.64209915512745,187.1380219417999,117.6186921293968,235.24744654218657,13.7575,45,67.56898213266082,84.36606884884645,76.80737982656292,16,5,10,25.9,3.3,3,9.899999999999999
00-0036997,Javonte Williams,RB,DAL,16,14.875165496219102,12.81213610834879,6.01703138322102,26.351813826146476,35.0,model+realized+age_prior,6.736489897697028,0.9529124820659971,0.97,False,182.16845018936837,189.96915951236195,132.63995630449622,228.860832327302,14.183,45,70.09533316690174,77.9794546339619,74.43159997378481,17,5,11,33.0,4.6,3,16.0
00-0034844,Saquon Barkley,RB,PHI,16,15.836895515442974,12.934279811728489,7.193721220620104,29.557837097878167,2.0,model+realized+age_prior,7.677637207809207,0.9289411764705882,0.93,False,178.23634464595045,187.35416524118807,117.10435745507765,230.69520845923364,13.71175,45,66.16322762348382,79.81383076589353,73.67105935180916,18,5,12,17.8,3.1,2,-0.1999999999999993
00-0037247,George Pickens,WR,DAL,17,15.57143700443437,13.53721024109327,9.650632408415158,25.49486652977413,52.0,model+realized,9.539726343313855,0.9052488687782806,1.0,False,186.83461585554426,193.86187592528094,124.19643778353236,244.3594316086498,13.5425,45,63.08818084686844,80.44979916062215,72.63707091943297,19,5,5,21.0,3.1,2,2.0
00-0036973,Travis Etienne,RB,NO,17,14.444589112683257,12.447988841173688,6.9443269271102315,27.59753593429158,25.0,model+realized+team_change_prior+age_prior,8.378227139553209,0.9289411764705882,0.97,True,172.66992806932075,180.37816934287227,106.93913163593244,227.94331822080244,13.66525,45,60.596811046854114,77.06194052746233,69.65263226118863,20,6,13,38.6,5.2,4,18.6
00-0039064,Zay Flowers,WR,BAL,17,13.883561312598015,12.289649947127268,7.483054385822442,25.971252566735114,22.0,model+realized,7.771540705394914,0.9771428571428571,1.0,False,182.9963829842693,190.2291763796937,134.51398418328728,230.59365228255976,14.7195,45,59.249947975593486,66.68401983453211,63.33868749800973,21,7,6,28.4,4.2,3,7.399999999999999
00-0033280,Christian McCaffrey,RB,SF,17,21.69884884710401,15.759025607312612,8.224465832824288,30.234086242299796,8.0,model+realized+age_prior,9.309014932455069,0.6900202839756593,0.86,False,161.55203515294826,166.26971853528715,89.82773999848588,225.46718282446446,10.20725,45,49.47891813048163,74.58580513112435,63.28770598083513,22,7,14,4.7,1.2,1,-17.3
00-0038120,Breece Hall,RB,NYJ,16,13.441487315873783,12.165712700314623,7.621515050609469,25.253935660506503,36.0,model+realized,7.57256730305909,0.9289411764705882,1.0,False,168.35605839047108,175.79273927584458,112.83672057985862,218.65698540890625,13.722,45,56.282941368004444,67.77560771556614,62.60390785916338,23,7,15,28.4,3.3,3,5.399999999999999
00-0037238,Drake London,WR,ATL,12,16.03537924313774,13.281442077078543,11.453949299060762,25.10609171800137,8.0,model+realized,10.51858746605391,0.8587917329093799,1.0,False,174.13740908578916,178.5597353693587,110.43830324590225,236.3933369315347,12.8485,45,50.39097407711334,72.48370448350704,62.54197580062988,24,7,7,11.2,2.0,1,-12.8
00-0040734,TreVeyon Henderson,RB,NE,17,12.392986203586922,11.446202078866037,9.597054542011989,23.860369609856264,38.0,model+realized,8.76315580777985,0.9616,1.0,False,165.42995036221762,172.47423723991164,102.02113059431029,220.41294264173717,14.19025,45,53.35683333975099,69.53156494839706,62.25293572450633,25,7,16,57.6,6.0,5,32.6
00-0036275,D'Andre Swift,RB,CHI,16,13.61230867782957,11.92124802555763,6.671419139383564,27.630390143737166,35.0,model+realized+age_prior,6.967000665050312,0.9529124820659971,0.97,False,168.61207757066697,177.17668872953777,113.34029773531257,215.29319328568238,14.0965,45,56.538960548200336,64.41181559234226,60.8690308224784,26,7,17,46.1,4.4,4,20.1
00-0026498,Matthew Stafford,QB,LAR,17,19.2417755978141,16.6183114997623,6.979441659785756,38.56536618754278,1.0,model+realized+team_change_prior+age_prior,8.9201854260907,0.9529124820659971,0.96,True,258.3444117396831,266.47000447042774,205.0127409293665,315.844335759353,15.48975,15,55.347656768311595,64.06314490517681,60.14117524358747,27,7,2,97.2,14.0,9,70.2
adp:jeremiyah love,Jeremiyah Love,RB,ARI,0,12.92849907687954,12.92849907687954,,,,rookie_market_prior,6.8289030804925686,0.85,1.0,False,162.81272834013072,170.38550008311574,106.17486371407553,212.6367258130936,12.5575,45,50.739611317664085,61.75534811975348,56.79826655881325,28,8,18,22.7,2.6,2,-5.300000000000001
00-0036322,Justin Jefferson,WR,MIN,17,13.445538429496871,11.965893903095987,5.792248877493399,27.211498973305954,22.0,model+realized,6.545436267862932,0.9771428571428571,1.0,False,177.01095346972565,184.93684035083032,130.1623609473074,219.66526511176437,14.68025,45,53.26451846104983,55.75563266373672,54.63463127252762,29,9,8,12.6,2.6,1,-16.4
00-0039732,Bo Nix,QB,DEN,17,18.235654346595204,16.92036673927085,8.369988228257938,26.5160848733744,12.0,model+realized,8.567258469210184,0.9771428571428571,1.0,False,256.10468357708504,263.70402120873894,209.1369269306871,307.6048352489342,15.01625,15,53.10792860571354,55.82364439475802,54.601572289688,30,9,3,119.2,10.9,10,89.2
00-0039918,Caleb Williams,QB,CHI,17,18.010399545262658,16.753874060025055,8.227406138310293,24.78576317590691,1.0,model+realized,8.44007911694068,0.9771428571428571,1.0,False,251.94619416503875,259.80367600237366,203.35949954173887,305.36136831769494,14.957,15,48.949439193667246,53.580177463518766,51.49634524208558,31,10,4,100.1,14.4,9,69.1
00-0038117,Wan'Dale Robinson,WR,TEN,16,13.116806699721206,11.309772920697329,8.190011701253344,25.65366187542779,43.0,model+realized+team_change_prior,9.315079911955072,0.9529124820659971,1.0,True,167.48432306122368,172.33926673980517,112.42529066412018,221.57033593432882,14.388,45,43.73788805254786,57.66070348630117,51.39543654111218,32,10,9,91.3,14.3,8,59.3
00-0036970,Kyle Pitts,TE,ATL,17,11.228298704300215,9.977828462338517,9.940636297541522,25.90280629705681,4.0,model+realized,9.167288269585436,0.9771428571428571,1.0,False,152.46519781557961,155.82650790922776,103.50307907599037,202.90892328569595,14.828,18,42.03890210067118,56.647041624923105,50.073378839009735,33,10,2,85.1,13.8,8,52.099999999999994
00-0036139,Rico Dowdle,RB,PIT,17,12.23464078380448,10.430761442016621,9.801819308919436,28.216290212183434,300.0,model+realized+team_change_prior+age_prior,10.20880984264196,0.9529124820659971,0.93,True,151.51403600599505,156.63782073079523,87.37862669531206,209.43281270657627,14.0045,45,39.44091898352842,58.55143501323616,49.951702799867675,34,10,19,77.4,6.4,7,43.400000000000006
00-0040129,Emeka Egbuka,WR,TB,17,12.726094792894042,11.434131215172158,8.421318361229226,23.88227241615332,19.0,model+realized,8.207789210391459,0.9616,1.0,False,168.68616029941228,174.30774603360777,117.26423072376782,217.42927992358045,14.514,45,44.93972529073646,53.5196474755528,49.65868249238545,35,10,10,42.2,6.0,4,7.200000000000003
00-0036358,CeeDee Lamb,WR,DAL,13,15.593908943946015,13.124327512687323,5.984509919313275,27.40041067761807,17.0,model+realized,7.133172101967505,0.8360784313725489,1.0,False,166.40951291410732,171.66156439921303,116.02972965115812,216.6362465172012,12.61,45,42.66307790543151,52.726614069173536,48.19802279548962,36,10,11,11.6,2.5,1,-24.4
00-0040730,RJ Harvey,RB,DEN,17,11.449914253678234,10.749148898498746,7.655971333464065,25.571526351813826,60.0,model+realized,7.293312611009407,0.9616,1.0,False,154.71203866069675,161.46858117749468,97.24430981248841,201.2297575758965,14.2105,45,42.638921638230116,50.3483798825564,46.87912367260957,37,11,20,94.7,14.0,8,57.7
00-0036355,Justin Herbert,QB,LAC,16,18.197583732049367,16.832893219268225,7.740838886494581,28.479123887748116,6.0,model+realized,8.139504409191224,0.9529124820659971,1.0,False,247.01472279199817,255.24288183800883,195.39406148413858,300.94231707095133,14.59925,15,44.017967820626666,49.16112621677516,46.84670493850834,38,11,5,88.6,16.0,8,50.599999999999994
00-0036389,Jalen Hurts,QB,PHI,16,19.06467684327654,17.463506391069807,7.882266911661052,28.0684462696783,53.0,model+realized,8.353035222648629,0.9052488687782806,1.0,False,243.38189610379695,250.54324855102553,188.42353871869412,301.7181994569429,13.8865,15,40.385141132425446,49.937008602766724,45.63866824111315,39,12,6,86.6,15.6,8,47.599999999999994
00-0037240,Jameson Williams,WR,DET,17,12.694716482981397,11.41093855132368,8.963254234405506,25.43463381245722,12.0,model+realized,8.570835698277044,0.9289411764705882,1.0,False,162.78303205094582,168.3801953870652,108.67593035216768,214.10906998254066,14.009,45,39.03659704227,50.19943753451301,45.17615931300366,40,12,12,49.8,5.8,5,9.799999999999997
00-0039338,Brock Bowers,TE,LV,12,13.108987664078743,10.884268257201507,10.123674623316765,23.718001368925393,13.0,model+realized,9.42785614657623,0.8587917329093799,1.0,False,145.2450797301668,148.1724766104536,93.95566671648179,197.439706362008,13.011,18,34.81878401525836,51.17782470123515,43.8162563925456,41,13,3,36.7,7.1,3,-4.299999999999997
00-0036919,Kenneth Gainwell,RB,PIT,17,11.38221813631671,10.378139258705021,9.377915233016722,27.468856947296374,150.0,model+realized+age_prior,8.453473782355811,0.9529124820659971,0.97,False,148.10957060881884,153.96549078673945,88.96150498615856,199.274267102164,14.0085,45,36.03645358635221,48.39288940882389,42.83249328871163,42,14,21,,,,
00-0040128,Tyler Warren,TE,IND,17,11.743846649161288,10.35888563897496,4.8783811803892965,24.27378507871321,14.0,model+realized,5.840673339537414,0.9616,1.0,False,152.74422572358642,157.68631884037555,117.321572668322,189.0502142052296,14.633,18,42.31793000867799,42.78833254445675,42.57665140335631,43,14,4,57.6,9.2,5,14.600000000000001
00-0040124,Tetairoa McMillan,WR,CAR,17,12.509031926863642,11.273693444627948,7.084484912157569,23.408624229979466,8.0,model+realized,7.260903797188359,0.9616,1.0,False,163.48809954400195,169.81235912648023,117.35703030660795,208.53595668725902,14.44925,45,39.74166453532614,44.626324239231366,42.42822737247401,44,14,13,33.0,3.4,3,-11.0
00-0039851,Drake Maye,QB,NE,17,19.72230895564763,18.01919840683134,5.388321794836115,24.005475701574266,3.0,model+realized,6.73919696635644,0.8818575851393188,1.0,False,244.21782956751642,251.09611360795282,193.88224682064575,295.1175825171175,13.557,15,41.221074596144916,43.33639166294134,42.384498982882945,45,14,7,58.0,7.6,5,13.0
00-0033873,Patrick Mahomes,QB,KC,14,19.698443020024648,17.747025669572807,7.995600438592862,30.95687885010267,10.0,model+realized,8.526439416388488,0.8818575851393188,1.0,False,238.4511721250847,246.32681944476917,182.01918510155824,297.84412734701795,13.388,15,35.454417153713194,46.06293649284177,41.28910279023391,46,15,8,103.4,16.4,9,57.400000000000006
00-0034348,Courtland Sutton,WR,DEN,17,12.745683414896313,11.105151469013403,7.483943597108805,30.89390828199863,40.0,model+realized+age_prior,7.573789083655168,0.9529124820659971,0.97,False,161.1210284515781,166.46404793025562,114.14005538243211,208.3417731477753,14.34725,45,37.37459344290228,44.43214069974766,41.25624443416724,47,15,14,70.9,9.0,6,23.900000000000006
00-0036252,Michael Pittman,WR,PIT,17,12.438835730408364,10.885155020439218,7.4894484600198785,28.906228610540726,34.0,model+realized+team_change_prior,8.652648670032512,0.9529124820659971,1.0,True,158.4569913895006,163.6578450286356,101.73663714961185,209.33596552881377,14.2555,45,34.71055638082477,45.42633308078612,40.60423356580351,48,15,15,69.0,7.6,6,21.0
00-0033106,Jared Goff,QB,DET,17,17.23893180653706,16.183658774880048,7.5179776692468385,31.88227241615332,1.0,model+realized,7.854156183262921,0.9771428571428571,1.0,False,241.7427080214074,251.05424398893075,195.46668512302927,292.2810340130721,14.86275,15,38.745953050035894,40.499843158895914,39.7105926099089,49,16,9,101.4,15.1,9,52.400000000000006
00-0039915,Ladd McConkey,WR,LAC,16,12.733278432680535,11.380630063302249,6.855408448808867,24.804928131416837,34.0,model+realized,7.141808415472328,0.9289411764705882,1.0,False,160.2176829496945,165.94610461436707,110.78328495968644,205.9180576964816,13.937,45,36.47124794101869,42.00842524845396,39.51669546010809,50,16,16,38.1,5.6,4,-11.899999999999999
00-0035676,A.J. Brown,WR,NE,15,14.284911133744494,11.690237744452425,9.751546885836454,29.17180013689254,51.0,model+realized+team_change_prior+age_prior,10.70725274037388,0.8360784313725489,0.97,True,152.6666146598028,155.07436352621224,94.7244175899827,211.98907613771192,12.539,45,28.920179651126986,48.07944368968427,39.45777487233349,51,16,17,15.7,2.8,2,-35.3
00-0031381,Davante Adams,WR,LAR,14,15.597378786071218,11.310401000382669,6.839385776675988,33.686516084873375,53.0,model+realized+team_change_prior+age_prior,8.807523791676504,0.8360784313725489,0.88,True,154.41777138656946,158.97031031825017,97.8584374853473,208.01733653692258,13.38325,45,30.67133637789364,44.107704088894934,38.06133861894435,52,17,18,42.1,4.5,4,-9.899999999999999
00-0030506,Travis Kelce,TE,KC,17,12.099486139837834,9.878227137620463,6.405265526938616,36.90622861054072,63.0,model+realized+age_prior,6.9587806094580955,0.9529124820659971,0.93,False,145.15060158075346,149.15678482169352,104.10761579050613,186.63564885194018,14.49225,18,34.724305865845025,40.37376719116733,37.83150959477229,53,17,5,94.2,17.3,8,41.2
00-0038559,Michael Wilson,WR,ARI,17,11.516969902901458,10.540430209525464,10.602919964080927,26.521560574948666,94.0,model+realized,9.480502150916395,0.9529124820659971,1.0,False,154.55477532651392,159.48856817511302,98.7198363114718,206.71348552713542,14.3235,45,30.808340317838102,42.80385307910777,37.40587233653642,54,17,19,85.2,8.8,8,31.200000000000003
