season,week,team,position,player_id,full_name
2023,13,NYJ,QB,00-0023459,Aaron Rodgers
2023,2,NYJ,QB,00-0023459,Aaron Rodgers
2023,5,NYG,RB,00-0028063,Taiwan Jones
2023,2,NYG,RB,00-0028063,Taiwan Jones
2023,6,NE,WR,00-0026293,Matt Slater
2023,4,NE,WR,00-0026293,Matt Slater
2023,2,CHI,TE,00-0024243,Marcedes Lewis
2023,7,CHI,TE,00-0024243,Marcedes Lewis
